name,type,colour
Cat flea killer,what,#943920
Jewellery,what,#943920
Making bubbles,what,#943920
Elephant,what,#943920
Toy,what,#943920
Hat,what,#943920
Shoes,what,#943920
Water delivery,what,#943920
Handbag,what,#943920
Instrument,what,#943920
Solar flare,what,#943920
For spelling,what,#943920
Fishtank,what,#943920
Why not ?,what,#943920
Direct democracy,what,#943920
Toilet,what,#943920
Solar powered,what,#943920
Housing,what,#943920
Social change,what,#943920
Lifter,what,#943920
Drinks container,what,#943920
Narrow boat,what,#943920
Vehicle,what,#943920
Real-time fact checker,what,#943920
Desk,what,#943920
Birdfeeder,what,#943920
Delivery of goods,what,#943920
Usable with no hands,what,#943920
Clothing,what,#943920
Eye glass,what,#943920
Flying pig,what,#943920
Gazebo,what,#943920
Exploding ,what,#943920
Kittens,what,#943920
Transparent objects,what,#943920
Organiser,what,#943920
Milk bottle,what,#943920
Printer,what,#943920
Used CD cases,what,#943920
Bike pump,what,#943920
Building Management System,what,#943920
Juicer,what,#943920
Hat,what,#943920
Food,what,#943920
Water butt,what,#943920
Loom,what,#943920
Robotic clone of the Queen,what,#943920
Sun shade,what,#943920
Transportation device,what,#943920
Under water,what,#943920
Storage,what,#943920
Socks,what,#943920
Trolley,what,#943920
Upside-down,what,#943920
Jetpack,what,#943920
Spanner,what,#943920
Coffee ,what,#943920
Crushed velvet,what,#943920
Badge,what,#943920
Squidgy,what,#943920
Telescope,what,#943920
Tea,what,#943920
Carrying device,what,#943920
Party!,what,#943920
L^O,what,#943920
Lace making,what,#943920
UAV,what,#943920
Minefield clearance,what,#943920
Bouyancy aid/lifejacket,what,#943920
Illumination,what,#943920
Tactile,what,#943920
Raygun,what,#943920
Robot pen,what,#943920
Canoe,what,#943920
To battle climate change,why,#275466
Golden ratio,why,#275466
Ants,why,#275466
To defeat your foe,why,#275466
World peace,why,#275466
To meet people,why,#275466
For kicks,why,#275466
Educate,why,#275466
Nuclear weapon detection,why,#275466
Sustainable,why,#275466
Language learning,why,#275466
For revealing,why,#275466
For finding,why,#275466
On the beach,why,#275466
Empathy,why,#275466
Dietary education,why,#275466
World peace,why,#275466
Tropical medicine,why,#275466
Personal hygeine,why,#275466
Lockpicking,why,#275466
To be stronger,why,#275466
Science,why,#275466
For freedom,why,#275466
Finding your keys,why,#275466
To reach the stars,why,#275466
Walking,why,#275466
For organising a small team of people to get a quick job done,why,#275466
For helpingpeople sleep,why,#275466
Relaxation,why,#275466
Telepathy,why,#275466
For scaring,why,#275466
Xylophone,why,#275466
Flight,why,#275466
For hiding,why,#275466
Firefighting,why,#275466
Fixing people,why,#275466
First aid,why,#275466
Cleaning,why,#275466
As personal adornments,why,#275466
Hairstyling,why,#275466
Seeing round corners,why,#275466
For a tent,why,#275466
To get water,why,#275466
To measure something,why,#275466
For the developing world,why,#275466
Plasticine,why,#275466
Anti smoking,why,#275466
Reduce socal awkwardness,why,#275466
A great aprty,why,#275466
To calm,why,#275466
I'm hungry,why,#275466
Hydration,why,#275466
Recycling,why,#275466
Rechargeable,why,#275466
Energy,why,#275466
Oracle,why,#275466
Tea-maker,why,#275466
To save water,why,#275466
Birdwatching,why,#275466
Formless entities,who,#7A837E
For the blind,who,#7A837E
Blined,who,#7A837E
Refugges,who,#7A837E
Pilots,who,#7A837E
For newts,who,#7A837E
For very old people,who,#7A837E
For babies,who,#7A837E
For cats,who,#7A837E
Under 5s,who,#7A837E
Migraine sufferers,who,#7A837E
Donald Trump,who,#7A837E
Metalheads,who,#7A837E
The person on the clapham omnibus,who,#7A837E
Eric Pode of Croydon,who,#7A837E
Trendies,who,#7A837E
For flowers,who,#7A837E
For students,who,#7A837E
For your dog ?,who,#7A837E
The universe,who,#7A837E
The world,who,#7A837E
Me,who,#7A837E
You!,who,#7A837E
Managers,who,#7A837E
Politician,who,#7A837E
The five people currently closest to you,who,#7A837E
The person to my left,who,#7A837E
The great unwashed,who,#7A837E
Racists,who,#7A837E
40 * 16 year old girls,who,#7A837E
Chickens,who,#7A837E
People who give you money (funders),who,#7A837E
A 5 year old,who,#7A837E
Government (boo),who,#7A837E
The government,who,#7A837E
Bee keepers,who,#7A837E
A 5 year old,who,#7A837E
Farmer,who,#7A837E
People who want to get fitter,who,#7A837E
Cows,who,#7A837E
Dancers,who,#7A837E
The ethical,who,#7A837E
The unethical,who,#7A837E
Space people,who,#7A837E
Sea creatures,who,#7A837E
Toast lovers,who,#7A837E
AI,who,#7A837E
People with one arm,who,#7A837E
Mechanics,who,#7A837E
People running back and forth,who,#7A837E
People who don't like bright light,who,#7A837E
Guineapigs,who,#7A837E
Pets,who,#7A837E
The deaf,who,#7A837E
People with no common sense,who,#7A837E
People with no sense of direction,who,#7A837E
Goths,who,#7A837E
Fish,who,#7A837E
Short people,who,#7A837E
People with no charisma,who,#7A837E
Your teacher,who,#7A837E
Peter Ustinov,who,#7A837E
Rabbits,who,#7A837E
Your Boss,who,#7A837E
For a dachshund,who,#7A837E
Doctors,who,#7A837E
Badgers,who,#7A837E
A distant relative,who,#7A837E
Someone confined to a bed,who,#7A837E
Children,who,#7A837E
Ants,who,#7A837E
Toilet users,who,#7A837E
Old people,who,#7A837E
Someone who is bored,who,#7A837E
Vegans,who,#7A837E
Drivers,who,#7A837E
Your stomach,who,#7A837E
A pet,who,#7A837E
A stranger,who,#7A837E
The people playing bad music near you,who,#7A837E
Night-shift workers,who,#7A837E
Your infant-school teacher,who,#7A837E
Hayfever sufferer ,who,#7A837E
Wheelchair user,who,#7A837E
